"steam_appid";"timestamp_created";"timestamp_updated";"voted_up";"votes_up";"votes_funny";"weighted_vote_score";"comment_count
10;1495993232;1499801573;"TRUE";399;272;0.951596916;19
10;1427890049;1480048737;"TRUE";2459;4082;0.947314501;117
10;1357415282;1547414438;"TRUE";179;0;0.943737566;4
10;1446029119;1446029119;"TRUE";837;1833;0.93421483;23
10;1492564189;1492564189;"TRUE";414;43;0.917499304;14
10;1448977295;1448977295;"TRUE";471;552;0.911702037;6
10;1631273637;1631273637;"TRUE";113;19;0.909777343;2
10;1445780333;1479990880;"TRUE";785;227;0.908299983;15
10;1588337307;1588337307;"TRUE";135;105;0.905160367;0
10;1449879100;1449879100;"TRUE";679;875;0.899869204;4
10;1419401473;1419401473;"TRUE";649;1722;0.895363986;19
10;1604988058;1604988058;"TRUE";144;5;0.89505738;16
10;1428714889;1451405791;"TRUE";420;121;0.89226073;18
10;1438023860;1438023860;"TRUE";1082;2110;0.89175266;34
10;1575662830;1575662830;"TRUE";101;2;0.889169097;0
10;1389605705;1389606308;"TRUE";376;9;0.884236395;26
10;1422452490;1511550541;"TRUE";321;994;0.876540482;7
10;1591405530;1591405530;"TRUE";104;9;0.875250697;0
10;1608338031;1608338031;"TRUE";87;13;0.873152792;0
10;1613766003;1613766003;"TRUE";92;64;0.868495762;5
10;1628340891;1628340891;"TRUE";95;80;0.867193043;0
10;1391801647;1391801647;"TRUE";1065;6;0.866626382;44
10;1430566299;1430596482;"TRUE";570;1198;0.86659956;13
10;1494412108;1496062803;"TRUE";104;4;0.865624309;4
10;1385413508;1390167851;"TRUE";713;1;0.863502502;16
10;1543915483;1598814439;"TRUE";70;0;0.863315523;0
10;1620371919;1620371919;"TRUE";62;39;0.860908329;0
10;1404837790;1404837790;"TRUE";697;10;0.860560715;8
10;1394977461;1394977461;"TRUE";325;3;0.860191643;5
10;1606932049;1606932049;"TRUE";89;54;0.858108938;0
10;1471470239;1472899096;"TRUE";117;70;0.857013822;10
10;1414837932;1414837932;"TRUE";250;58;0.856934905;0
10;1525843141;1525843141;"TRUE";67;12;0.856693387;0
10;1498471290;1498471290;"TRUE";277;52;0.853075802;11
10;1511464900;1511464900;"TRUE";159;44;0.852932394;10
10;1429058664;1429058740;"TRUE";168;83;0.851992905;13
10;1385412256;1385412256;"TRUE";345;2;0.851625323;3
10;1542842536;1542842536;"TRUE";74;5;0.851257265;0
10;1439489957;1446842055;"TRUE";272;152;0.851095796;6
10;1412945848;1446609068;"TRUE";487;718;0.849826157;5
10;1404572293;1404572293;"TRUE";689;6;0.849332988;13
10;1498604560;1498604560;"TRUE";236;202;0.848651171;6
10;1577602949;1577602949;"TRUE";46;0;0.848484874;0
10;1479760823;1542835799;"TRUE";91;66;0.847124875;6
10;1610830054;1610830054;"TRUE";61;5;0.845965326;0
10;1511836435;1511930899;"TRUE";75;3;0.844908834;3
10;1423913622;1423913622;"TRUE";116;39;0.843588591;1
10;1511404872;1565835910;"TRUE";90;10;0.842971146;4
10;1511667145;1511667145;"TRUE";104;18;0.842916012;0
10;1527185810;1527185810;"TRUE";75;7;0.840790927;0
10;1389639370;1403741523;"TRUE";94;0;0.838114381;2
10;1526299602;1526299602;"TRUE";77;103;0.835241318;0
10;1388094201;1388094201;"TRUE";184;0;0.835167825;5
10;1412255206;1414661084;"TRUE";152;39;0.83394146;3
10;1481841494;1481841494;"TRUE";135;319;0.830624819;13
10;1625244707;1625244707;"TRUE";104;13;0.82967037;3
10;1547329562;1547329626;"TRUE";78;77;0.829363942;11
10;1494959216;1494959216;"TRUE";58;57;0.828997612;6
10;1604156929;1604156929;"TRUE";77;92;0.828965008;0
