"appid";"name";"developer";"owners";"genre"
10;"Counter-Strike";"Valve";"10,000,000 .. 20,000,000";"Action"
20;"Team Fortress Classic";"Valve";"2,000,000 .. 5,000,000";"Action"
30;"Day of Defeat";"Valve";"5,000,000 .. 10,000,000";"Action"
40;"Deathmatch Classic";"Valve";"5,000,000 .. 10,000,000";"Action"
50;"Half-Life: Opposing Force";"Gearbox Software";"5,000,000 .. 10,000,000";"Action"
60;"Ricochet";"Valve";"5,000,000 .. 10,000,000";"Action"
70;"Half-Life";"Valve";"5,000,000 .. 10,000,000";"Action"
80;"Counter-Strike: Condition Zero";"Valve";"5,000,000 .. 10,000,000";"Action"
130;"Half-Life: Blue Shift";"Gearbox Software";"10,000,000 .. 20,000,000";"Action"
220;"Half-Life 2";"Valve";"10,000,000 .. 20,000,000";"Action"
240;"Counter-Strike: Source";"Valve";"500,000 .. 1,000,000";"Action"
280;"Half-Life: Source";"Valve";"1,000,000 .. 2,000,000";"Action"
300;"Day of Defeat: Source";"Valve";"5,000,000 .. 10,000,000";"Action"
320;"Half-Life 2: Deathmatch";"Valve";"10,000,000 .. 20,000,000";"Action"
340;"Half-Life 2: Lost Coast";"Valve";"20,000,000 .. 50,000,000";"Action"
360;"Half-Life Deathmatch: Source";"Valve";"5,000,000 .. 10,000,000";"Action"
380;"Half-Life 2: Episode One";"Valve";"2,000,000 .. 5,000,000";"Action"
400;"Portal";"Valve";"10,000,000 .. 20,000,000";"Action"
420;"Half-Life 2: Episode Two";"Valve";"2,000,000 .. 5,000,000";"Action"
440;"Team Fortress 2";"Valve";"50,000,000 .. 100,000,000";"Action, Free to Play"
500;"Left 4 Dead";"Valve";"2,000,000 .. 5,000,000";"Action"
550;"Left 4 Dead 2";"Valve";"20,000,000 .. 50,000,000";"Action"
570;"Dota 2";"Valve";"100,000,000 .. 200,000,000";"Action, Free to Play, Strategy"
620;"Portal 2";"Valve";"10,000,000 .. 20,000,000";"Action, Adventure"
630;"Alien Swarm";"Valve";"2,000,000 .. 5,000,000";"Action"
730;"Counter-Strike: Global Offensive";"Valve, Hidden Path Entertainment";"50,000,000 .. 100,000,000";"Action, Free to Play"
1002;"Rag Doll Kung Fu";"Mark Healey";"20,000 .. 50,000";"Indie"
1200;"Red Orchestra: Ostfront 41-45";"Tripwire Interactive";"500,000 .. 1,000,000";"Action"
1250;"Killing Floor";"Tripwire Interactive";"2,000,000 .. 5,000,000";"Action"
1300;"SiN Episodes: Emergence";"Ritual Entertainment";"100,000 .. 200,000";"Action"
1309;"SiN Episodes: Emergence";"Ritual Entertainment";"200,000 .. 500,000";"Action"
1313;"SiN: Gold";"Ritual Entertainment, Nightdive Studios";"50,000 .. 100,000";"Action"
1500;"Darwinia";"Introversion Software";"500,000 .. 1,000,000";"Indie, Strategy"
1510;"Uplink";"Introversion Software";"500,000 .. 1,000,000";"Indie, Strategy"
1520;"DEFCON";"Introversion Software";"500,000 .. 1,000,000";"Indie, Strategy"
1530;"Multiwinia";"Introversion Software";"500,000 .. 1,000,000";"Indie"
1600;"Dangerous Waters";"Sonalysts";"50,000 .. 100,000";"Strategy"
1610;"Space Empires IV Deluxe";"Malfador Machinations";"50,000 .. 100,000";"Strategy"
1630;"Disciples II: Rise of the Elves ";"Strategy First";"50,000 .. 100,000";"Strategy"
1640;"Disciples II: Gallean's Return";"Strategy First";"100,000 .. 200,000";"Strategy"
1670;"Iron Warriors: T - 72 Tank Command ";"Strategy First";"20,000 .. 50,000";"Strategy"
1690;"Space Empires V";"Malfador Machinations";"50,000 .. 100,000";"Strategy"
1700;"Arx Fatalis";"Arkane Studios";"200,000 .. 500,000";"RPG"
1840;"Source Filmmaker";"Valve";"1,000,000 .. 2,000,000";"Animation & Modeling, Video Production"
1900;"Earth 2160";"Reality Pump Studios";"500,000 .. 1,000,000";"Strategy"
1930;"Two Worlds Epic Edition";"Reality Pump Studios";"1,000,000 .. 2,000,000";"RPG"
2100;"Dark Messiah of Might & Magic";"Arkane Studios";"1,000,000 .. 2,000,000";"Action, RPG"
2200;"Quake III Arena";"id Software";"200,000 .. 500,000";"Action"
2210;"Quake 4";"RavenSoft / id Software";"200,000 .. 500,000";"Action"
2270;"Wolfenstein 3D";"id Software";"200,000 .. 500,000";"Action"
2280;"Ultimate Doom";"id Software";"500,000 .. 1,000,000";"Action"
2290;"Final DOOM";"id Software";"500,000 .. 1,000,000";"Action"
2300;"DOOM II";"id Software";"500,000 .. 1,000,000";"Action"
2310;"QUAKE";"id Software, Nightdive Studios";"1,000,000 .. 2,000,000";"Action"
2320;"QUAKE II";"id Software";"200,000 .. 500,000";"Action"
2330;"QUAKE II Mission Pack: The Reckoning";"Xatrix Entertainment";"200,000 .. 500,000";"Action"
2340;"QUAKE II Mission Pack: Ground Zero";"Rogue Entertainment";"50,000 .. 100,000";"Action"
2350;"QUAKE III: Team Arena";"id Software";"100,000 .. 200,000";"Action"
2360;"HeXen: Beyond Heretic";"Raven Software";"200,000 .. 500,000";"Action"
2370;"HeXen: Deathkings of the Dark Citadel";"Raven Software";"50,000 .. 100,000";"Action"
2390;"Heretic: Shadow of the Serpent Riders";"Raven Software";"100,000 .. 200,000";"Action"
2400;"The Ship: Murder Party";"Outerlight Ltd.";"1,000,000 .. 2,000,000";"Action, Indie, RPG"
2420;"The Ship: Single Player";"Outerlight Ltd.";"200,000 .. 500,000";"Action, Indie, RPG"
2450;"Bloody Good Time";"Outerlight Ltd.";"100,000 .. 200,000";"Action"
2500;"Shadowgrounds";"Frozenbyte";"200,000 .. 500,000";"Action"
2520;"Gumboy - Crazy Adventures";"CINEMAX, s.r.o.";"50,000 .. 100,000";"Casual, Indie"
2540;"RIP - Trilogy";"Elephant Games";"100,000 .. 200,000";"Casual, Indie"
2570;"Vigil: Blood Bitterness";"Freegamer";"50,000 .. 100,000";"Indie, RPG"
2590;"Alpha Prime";"Black Element";"200,000 .. 500,000";"Action"
2600;"Vampire: The Masquerade - Bloodlines";"Troika Games";"500,000 .. 1,000,000";"Action"
2610;"GUN";"Neversoft";"100,000 .. 200,000";"Action"
2620;"Call of Duty";"Infinity Ward";"200,000 .. 500,000";"Action"
2630;"Call of Duty 2";"Infinity Ward";"2,000,000 .. 5,000,000";"Action"
2640;"Call of Duty: United Offensive";"Gray Matter Studios";"200,000 .. 500,000";"Action"
2700;"RollerCoaster Tycoon 3: Platinum";"Frontier, Aspyr (Mac)";"1,000,000 .. 2,000,000";"Simulation, Strategy"
2710;"Act of War: Direct Action";"Eugen Systems";"100,000 .. 200,000";"Action"
2780;"ARMA: Combat Operations";"Bohemia Interactive";"50,000 .. 100,000";"Action"
2800;"X2: The Threat";"Egosoft";"200,000 .. 500,000";"Strategy"
2810;"X3: Reunion";"Egosoft";"200,000 .. 500,000";"Strategy"
2820;"X3: Terran Conflict";"Egosoft";"500,000 .. 1,000,000";"Action, Simulation, Strategy"
2840;"X: Beyond the Frontier";"Egosoft";"200,000 .. 500,000";"Simulation, Strategy"
2850;"X: Tension";"Egosoft";"200,000 .. 500,000";"Simulation, Strategy"
2870;"X Rebirth";"Egosoft";"200,000 .. 500,000";"Action, Simulation"
2910;"Fleet Command";"Sonalysts";"20,000 .. 50,000";"Strategy"
2920;"Sub Command";"Sonalysts";"100,000 .. 200,000";"Strategy"
2990;"FlatOut 2";"Bugbear Entertainment";"200,000 .. 500,000";"Racing"
3010;"Xpand Rally";"Techland";"20,000 .. 50,000";"Racing"
3020;"Call of Juarez";"Techland";"100,000 .. 200,000";"Action"
3050;"Xpand Rally Xtreme";"Techland";"20,000 .. 50,000";"Racing"
3130;"Men of War: Red Tide";"1C Entertainment";"200,000 .. 500,000";"Strategy"
3170;"King's Bounty: Armored Princess";"Katauri Interactive";"500,000 .. 1,000,000";"RPG, Strategy"
3230;"Genesis Rising";"Metamorf";"20,000 .. 50,000";"Strategy"
3260;"Safecracker: The Ultimate Puzzle Adventure";"Kheops Studio";"50,000 .. 100,000";"Adventure, Casual"
3270;"Painkiller Overdose";"Mindware Studios";"100,000 .. 200,000";"Action"
3300;"Bejeweled 2 Deluxe";"PopCap Games, Inc.";"50,000 .. 100,000";"Casual"
3310;"Chuzzle Deluxe";"PopCap Games, Inc.";"50,000 .. 100,000";"Casual"
3320;"Insaniquarium Deluxe";"PopCap Games, Inc.";"200,000 .. 500,000";"Casual"
